KONUM VE OLAY,Dexter,Godfather,SPARROW,CALIAN,Prospect 4,,,,,,Konum ve olay,Bandit,Metei,Bazar,Pocar,Edison,Zoltar,Amerikalı
Toplantı 21.01.26,50,,,,,,,,,,Alanya,781,-,-,781,781,781,-
Çerkezköy 26.01.26,253,,,,,,Dexter Toplam,978,,,Toplantı 14.01.26,50,50,50,50,50,50,50
Toplantı 28.01.26,50,,,,,,Godfather Toplam,188,,,Çanakkale 16.01.26,-,-,370,-,-,370,370
Toplantı 06.02.26,50,,,,,,Sparrow Toplam,282,,,Ayvalık 20.01.26,-,-,-,-,-,-,440
Toplantı 13.02.26,50,,,,,,CALIAN Toplam,0,,,Toplantı 21.01.26,50,50,50,50,50,50,50
Gönen 18.02.26,90,,,,,,Prospect 4Toplam,0,,,Bayrak 25.01.26,100,-,100,100,-,100,100
Toplantı 20.02.26,50,,,,,,Bandit Toplam,2523,,,Çerkezköy 26.01.26,267,-,-,-,-,267,-
Tatlısu 22.02.26,-,,,,,,Metei Toplam,620,,,Ocaklar 27.01.26,-,-,-,-,55,-,-
Toplantı 25.02.26,50,,,,,,Bazar Toplam,2511,,,Toplantı 28.01.26,50,50,50,50,50,50,50
Toplantı 04.03.26,50,,,,,,Pocar Toplam,2864,,,İzmir 31.01 / 04.02.26,-,-,-,-,-,-,707
Şehir iç. tu. 04.03,100,,,,,,Edison Toplam,2151,,,Ocaklar 05.02.26,-,-,-,-,-,-,60
Karşıyaka 08.03.26,80,,,,,,Zoltar Toplam,2625,,,Toplantı 06.02.26,50,50,50,50,50,50,50
Gönen 12.03.26,-,90,-,,,,Amerikalı Toplam,4442,,,Tatlısu 06.02.26,-,-,50,50,50,-,50
Karşıyaka 14.03.26,55,-,-,,,,,,,,Tatlısu 07.02.26,-,-,50,50,50,-,50
Toplantı 14.03.26,50,-,-,,,,,Katılmak,Katılmamak,,Toplantı 13.02.26,50,50,50,50,50,50,50
Manyas 14.03.26,-,98,-,,,,Haftalık Toplantılar,50 km,-100,,Balıkesir 15.02.26,240,120,240,240,-,240,240
Bursa 17.03.26,-,-,282,-,,,Şehir İçi Turlar,100 km,-100,,Gönen 18.02.26,90,-,90,90,90,90,68
Eskişehir 21.03.26,-,-,,-,,,Özel Turlar,100 km,-300,,Çanakkale 19.02.26,-,-,-,-,-,-,160
,,,,,,,Günübirlik Geziler,200 km,-200,,Çanakkle Bursa 19.02.26 ,-,-,-,-,-,-,495
,,,,,,,Yatılı Geziler,400 km,-250,,Çanakkale Bandırma 19.02.26,-,-,-,-,-,-,165
,,,,,,,İleri Sürüş Eğitimi ,2500 km,-1500,,Toplantı 20.02.26,50,50,50,50,50,50,50
,,,,,,,,,,,Tatlısu 22.02.26,-,-,-,50,50,50,50
,,,,,,,,,,,Narlı 23.02.26,-,-,-,-,-,-,35
,,,,,,,,,,,Narlı Tur 25.02.26,-,-,-,-,-,-,120
,,,,,,,,,,,Toplantı 25.02.26,50,50,50,50,50,50,50
,,,,,,,Sparrow,Bursa 17.03.26,Eskişehir 21.03.26,,Dutliman 28.02.26,-,-,16,-,16,-,16
,,,,,,,,,,,Edincik 02.03.26,-,-,19,-,-,19,-
,,,,,,,,,,,Toplantı 04.03.26,50,50,50,50,50,50,50
,,,,,,,,,,,Şehir iç. tu. 04.03,100,50,100,100,50,100,100
,,,,,,,,,,,Erdek tur 04.03.26,-,-,110,-,-,110,-
,,,,,,,,,,,Düzler 05.03.26,-,-,30,-,15,-,30
,,,,,,,,,,,Narlı 06.02.26,95,-,-,95,48,48,95
,,,,,,,,,,,Ban. Sak. 06.03.26,-,-,650,-,-,-,-
,,,,,,,,,,,Edincik 06.03.26,-,-,-,41,41,-,41
,,,,,,,,,,,Narlı yatılı 06.03.26,400,-,-,400,400,-,400
,,,,,,,,,,,Karşıyaka 08.03.26,-,-,-,80,-,-,-
,,,,,,,,,,,Gönen 12.03.26,-,-,-,-,-,-,90
,,,,,,,,,,,Karşıyaka 14.03.26,-,-,-,55,55,-,-
,,,,,,,,,,,Ormanlı 14.03.26,-,-,-,-,-,-,110
,,,,,,,,,,,Toplantı 14.03.26,50,50,50,50,50,50,50
,,,,,,,,,,,Bursa 17.03.26,-,-,-,282,-,-,-
,,,,,,,,,,,Balıkesir .03.26,-,-,236,-,-,-,-
,,,,,,,,,,,Eskişehir 21.03.26,-,-,-,-,,,